,Wikipedia Movie ID,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
2476,4334307,3.86,11.482,1.6480000000000001,5.452,6.352,2.555,1.648,7.273
2477,28224334,13.133000000000001,8.606,6.554,24.923,11.574,15.172,11.593,9.046000000000001
2478,9457226,0.853,0.0,0.922,2.289,0.0,0.844,0.625,0.578
2479,669691,5.47,9.929,5.383,8.16,17.381,9.44,4.749,15.13
2480,26541865,1.7440000000000002,5.072,0.93,3.562,5.413,3.016,2.116,6.508
2481,24407265,1.686,1.7429999999999999,0.828,2.3280000000000003,0.793,1.094,0.172,0.586
2482,19521134,1.516,3.223,2.047,2.815,15.065000000000001,3.032,1.968,8.414
2483,6199357,0.433,3.905,0.0,1.7189999999999999,5.041,1.5779999999999998,1.484,5.615
2484,36500436,15.037,11.555,8.609,26.778,15.58,15.655,10.133,20.454
2485,433062,13.76,4.6419999999999995,9.477,23.836,6.689,19.962,2.4299999999999997,6.5009999999999994
2486,34661304,0.0,0.945,0.0,1.048,1.906,0.712,0.0,2.507
2487,26697590,0.672,0.633,0.0,0.719,1.384,0.0,0.0,1.212
2488,30170738,8.568,1.7510000000000001,1.539,8.257,2.083,2.675,0.922,3.9219999999999997
2489,25180809,2.29,3.188,0.0,1.343,2.581,0.125,0.359,3.352
